ssp_scenario,ecs_percentile,eta,delta,ecr_plateau,scenario,policy,model
5,21.235851655996544,2.3096741091519806,1.0051428009706092,0.2,66,low_abatement,JUSTICE_A3_1p5_extension
5,87.53231648165766,2.349756140644022,0.8597726638676744,0.2,67,low_abatement,JUSTICE_A3_1p5_extension
4,28.46431675954289,1.9578327493851302,1.359577810152594,0.2,68,low_abatement,JUSTICE_A3_1p5_extension
0,72.29238548105883,0.6137121977719981,0.7914665793476832,0.2,69,low_abatement,JUSTICE_A3_1p5_extension
6,39.55178607439208,0.7084500983174311,1.984753585321326,0.2,70,low_abatement,JUSTICE_A3_1p5_extension
7,34.02656547550528,1.4858171945641168,1.0003259821257764,0.2,71,low_abatement,JUSTICE_A3_1p5_extension
5,96.82948271146287,0.5751606939746254,1.276649789544577,0.2,72,low_abatement,JUSTICE_A3_1p5_extension
0,85.33938295091652,1.2550559137877726,1.9709477603647494,0.2,73,low_abatement,JUSTICE_A3_1p5_extension
3,88.410608128617,1.804152519907281,1.4352712392564098,0.2,74,low_abatement,JUSTICE_A3_1p5_extension
6,82.68222253802104,1.8627422045155404,0.6754568568573697,0.2,75,low_abatement,JUSTICE_A3_1p5_extension
1,70.32407631034552,1.1830555740124389,0.7438619107006108,0.2,76,low_abatement,JUSTICE_A3_1p5_extension
4,13.750495261198378,2.0233238532973825,1.3197168806944157,0.2,77,low_abatement,JUSTICE_A3_1p5_extension
3,12.367104369039003,1.1384357737298523,1.1586589204798703,0.2,78,low_abatement,JUSTICE_A3_1p5_extension
0,0.02967012411660047,1.451047249826349,1.504727185647197,0.2,79,low_abatement,JUSTICE_A3_1p5_extension
0,20.096464999714666,1.9703588557175795,0.7648309973673495,0.2,80,low_abatement,JUSTICE_A3_1p5_extension
2,51.30615133178661,1.3755910663694202,1.3846873360341199,0.2,81,low_abatement,JUSTICE_A3_1p5_extension
6,72.70775233106087,0.6520978030498782,0.942615264026114,0.2,82,low_abatement,JUSTICE_A3_1p5_extension
7,15.438131580805535,1.446665683061056,1.253917894069149,0.2,83,low_abatement,JUSTICE_A3_1p5_extension
7,5.518634097789702,2.138321020392352,0.641336500958268,0.2,84,low_abatement,JUSTICE_A3_1p5_extension
7,53.627450479708784,0.7281360199836892,1.6616073179217572,0.2,85,low_abatement,JUSTICE_A3_1p5_extension
0,3.9318371406455137,1.503169600745741,1.139257759040078,0.2,86,low_abatement,JUSTICE_A3_1p5_extension
6,80.9224755459443,2.3960398775571883,1.1831781369432695,0.2,87,low_abatement,JUSTICE_A3_1p5_extension
1,36.2731494503829,1.6684450226195746,1.473758678798001,0.2,88,low_abatement,JUSTICE_A3_1p5_extension
6,29.247947345439634,2.0152749001526304,1.3906463361386074,0.2,89,low_abatement,JUSTICE_A3_1p5_extension
5,8.765026964190591,0.9873284694413835,1.5484704596309402,0.2,90,low_abatement,JUSTICE_A3_1p5_extension
2,13.297152709716176,1.0806335275547794,1.0419142901568503,0.2,91,low_abatement,JUSTICE_A3_1p5_extension
3,90.84356985731536,2.409030026446149,0.8827513558031748,0.2,92,low_abatement,JUSTICE_A3_1p5_extension
4,59.901216873484344,1.5869955258884112,1.4455865924036226,0.2,93,low_abatement,JUSTICE_A3_1p5_extension
