welfare_lens,reference_set_row,fraction_above_threshold,welfare_loss_damage,welfare_loss_abatement
PRIORITARIAN,363,0.6,33524.995116812504,94913.9010771836
PRIORITARIAN,364,0.6,24068.89765916379,133321.7574805639
PRIORITARIAN,365,0.3,35969.35202691378,14655.363282849596
UTILITARIAN,0,1.0,3620.277979375028,26006.78954272304
UTILITARIAN,1,0.3,3651.466960037799,10815.627596474484
UTILITARIAN,2,0.2,3652.082587592713,10796.119229031596
UTILITARIAN,3,0.2,3655.27881009005,10801.213629244556
UTILITARIAN,4,0.4,3644.135181474112,10855.788113725715
UTILITARIAN,5,0.6,3641.1775496685104,10895.875673627192
UTILITARIAN,6,1.0,3622.853107441009,14904.947024127854
UTILITARIAN,7,0.2,3650.52468573091,10811.59209922868
UTILITARIAN,8,0.4,3644.750275444728,10855.353348047114
UTILITARIAN,9,0.7,3635.3078889705416,10995.457612758742
UTILITARIAN,10,0.9,3630.858330544368,11117.61449185409
UTILITARIAN,11,0.2,3652.757715196887,10797.525965596831
UTILITARIAN,12,0.2,3653.248486322773,10810.950167703417
UTILITARIAN,13,0.6,3640.021601163404,10907.43624471758
UTILITARIAN,14,0.4,3645.004500162194,10858.317449368238
UTILITARIAN,15,1.0,3623.322100184616,13368.453120031418
